"en","key","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","Assamese","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Universe and the natural world","1","Universo y el mundo natural","El universo y el mundo natural","El universo y el mundo natural","TRUE","Universo e do mundo natural","Universo e o mundo natural","Universo e o mundo natural","TRUE","Univers et le monde naturel","L'univers et le monde naturel","L'univers et le monde naturel","TRUE","היקום ואת עולם הטבע","היקום ועולם הטבע","היקום ועולם הטבע","TRUE","الكون والعالم الطبيعي","الكون والعالم الطبيعي","الكون والعالم الطبيعي","FALSE","ब्रह्मांड और प्राकृतिक दुनिया","","ब्रह्मांड और प्राकृतिक दुनिया","FALSE","ইউনিভার্স এবং প্রাকৃতিক বিশ্বের","মহাবিশ্ব এবং প্রাকৃতিক বিশ্ব","মহাবিশ্ব এবং প্রাকৃতিক বিশ্ব","TRUE","ବିଶ୍ବ ଏବଂ ପ୍ରାକୃତିକ ସାରା","","ବିଶ୍ବ ଏବଂ ପ୍ରାକୃତିକ ସାରା","FALSE","","","FALSE","Alam semesta dan alam","Jagat raya dan alam","Jagat raya dan alam","TRUE","Вселенная и мир природы","","Вселенная и мир природы","TRUE","宇宙和自然世界","","宇宙和自然世界","FALSE","Sãsanni da kuma cikin halitta duniya","","Sãsanni da kuma cikin halitta duniya","FALSE","Universe na ulimwengu wa asili","Ulimwengu na dunia ya asili","Ulimwengu na dunia ya asili","TRUE","አጽናፈ ዓለም እና ተፈጥሮአዊው ዓለም","አጽናፈ ሰማይ እና የተፈጥሮ ዓለም","አጽናፈ ሰማይ እና የተፈጥሮ ዓለም","FALSE","Universe dan dunia semulajadi","Alam semesta dan alam sekitar","Alam semesta dan alam sekitar","TRUE","Uniberso at ang natural na mundo","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sky, weather and climate","1.1","Cielo, tiempo y el clima","Cielo, tiempo y clima","Cielo, tiempo y clima","TRUE","Céu, tempo e do clima","Céu, temperatura e clima","Céu, temperatura e clima","TRUE","Ciel, la météo et le climat","Le ciel, le temps et le climat","Le ciel, le temps et le climat","TRUE","סקיי, מזג אוויר ואקלים","שמים, מזג אוויר ואקלים","שמים, מזג אוויר ואקלים","TRUE","السماء، والطقس والمناخ","السماء والطقس والمناخ","السماء والطقس والمناخ","FALSE","आकाश, मौसम और जलवायु","","आकाश, मौसम और जलवायु","FALSE","আকাশ, আবহাওয়া এবং জলবায়ু","আকাশ, আবহাওয়া এবং জলবায়ু","আকাশ, আবহাওয়া এবং জলবায়ু","TRUE","ଆକାଶ, ପାଣିପାଗ ଓ ଜଳବାୟୁ","","ଆକାଶ, ପାଣିପାଗ ଓ ଜଳବାୟୁ","FALSE","","","FALSE","Sky, cuaca dan iklim","Langit, cuaca, dan iklim","Langit, cuaca, dan iklim","TRUE","Небо, погода и климат","","Небо, погода и климат","TRUE","天空，天气和气候","","天空，天气和气候","FALSE","Sky, weather da kuma sauyin yanayi","","Sky, weather da kuma sauyin yanayi","FALSE","Anga, hali ya hewa na hali ya hewa","Anga, hali ya hewa na mabadiliko ya hali ya hewa","Anga, hali ya hewa na mabadiliko ya hali ya hewa","TRUE","Sky, የአየር ሁኔታ እና የአየር ንብረት","Sky, የአየር ሁኔታ እና የአየር ንብረት","Sky, የአየር ሁኔታ እና የአየር ንብረት","TRUE","Langit, cuaca dan iklim","Langit, cuaca dan iklim","Langit, cuaca dan iklim","TRUE","Kalangitan, panahon at klima","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Earth, geology and landscape","1.2","Tierra, geología y el paisaje","Tierra, geología y paisaje","Tierra, geología y paisaje","TRUE","Terra, geologia e paisagem","Terra, geologia e paisagem","Terra, geologia e paisagem","TRUE","Terre, la géologie et le paysage","La Terre, la géologie et le paysage","La Terre, la géologie et le paysage","TRUE","כדור הארץ, גיאולוגיה ונוף","כדור הארץ, אדמה, שטח ונוף","כדור הארץ, אדמה, שטח ונוף","TRUE","الأرض والجيولوجيا والمناظر الطبيعية","الأرض والجيولوجيا والمناظر الطبيعية","الأرض والجيولوجيا والمناظر الطبيعية","FALSE","पृथ्वी, भूविज्ञान और परिदृश्य","","पृथ्वी, भूविज्ञान और परिदृश्य","FALSE","পৃথিবী, ভূতত্ত্ব এবং ল্যান্ডস্কেপ","পৃথিবী, ভূতত্ত্ব এবং ভূদৃশ্য","পৃথিবী, ভূতত্ত্ব এবং ভূদৃশ্য","TRUE","ପୃଥିବୀ, ଭୂତତ୍ତ୍ବ ଏବଂ ଦୃଶ୍ୟପଟ୍ଟରେ","","ପୃଥିବୀ, ଭୂତତ୍ତ୍ବ ଏବଂ ଦୃଶ୍ୟପଟ୍ଟରେ","FALSE","","","FALSE","Bumi, geologi dan lanskap","Bumi, geologi, dan bentang alam","Bumi, geologi, dan bentang alam","TRUE","Земля, геология и пейзаж","Земля, геология и ландшафт","Земля, геология и ландшафт","TRUE","地球，地质和景观","","地球，地质和景观","FALSE","Duniya, a fannin binciken kasa da kuma wuri mai faɗi","","Duniya, a fannin binciken kasa da kuma wuri mai faɗi","FALSE","Dunia, geologi na mazingira","Dunia, jiolojia na sura ya nchi","Dunia, jiolojia na sura ya nchi","TRUE","ምድር, ጂኦሎጂ እና የመሬት ገጽታ","ምድር፣ ጂኦሎጂ እና የመሬትአቀማመጥ","ምድር፣ ጂኦሎጂ እና የመሬትአቀማመጥ","TRUE","Bumi, geologi dan landskap","Bumi, geologi dan landskap","Bumi, geologi dan landskap","TRUE","Earth, Geology and Landscape.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Water, bodies of water and the water cycle","1.3","Agua, cuerpos de agua y el ciclo del agua","Agua, masas de agua y ciclo del agua","Agua, masas de agua y ciclo del agua","TRUE","Água, massas de água e o ciclo de água","Água, massas de água e ciclo de água","Água, massas de água e ciclo de água","TRUE","Eau, plans d'eau et le cycle de l'eau","L'eau, les masses d'eau et le cycle de l'eau","L'eau, les masses d'eau et le cycle de l'eau","TRUE","מים, גופי מי מחזור המים","גופי מים ומחזור המים","גופי מים ומחזור המים","TRUE","المياه والمسطحات المائية ودورة المياه","المياه والمسطحات المائية ودورة المياه","المياه والمسطحات المائية ودورة المياه","FALSE","जल, जल निकायों और जल चक्र","","जल, जल निकायों और जल चक्र","FALSE","পানি, পানির সংস্থা এবং জল চক্র","জল, জলাশয় এবং জলচক্র","জল, জলাশয় এবং জলচক্র","TRUE","ଜଳ, ଜଳ ଶରୀର ଓ ଜଳଚକ୍ର","","ଜଳ, ଜଳ ଶରୀର ଓ ଜଳଚକ୍ର","FALSE","","","FALSE","Air, badan air dan siklus air","Air, badan air, dan siklus air","Air, badan air, dan siklus air","TRUE","Вода, водоемы и круговорот воды","Вода, водоемы и круговорот воды","Вода, водоемы и круговорот воды","TRUE","水，水体和水的循环","","水，水体和水的循环","FALSE","Ruwa, jikin ruwa da kuma ruwan sake zagayowar","","Ruwa, jikin ruwa da kuma ruwan sake zagayowar","FALSE","Maji, miili ya maji na mzunguko wa maji","Maji, sehemu zenye maji na mzunguko wa maji","Maji, sehemu zenye maji na mzunguko wa maji","TRUE","ውሃ, የውሃ አካላት እና የውሃ ዑደት","ውሃ, የውሃ አካላት እና የውሃ ዑደት","ውሃ, የውሃ አካላት እና የውሃ ዑደት","TRUE","Air, badan air dan kitaran air","Air, jasad air dan kitaran air","Air, jasad air dan kitaran air","TRUE","Tubig, katawan ng tubig at ang cycle ng tubig.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plants, trees and other vegetation","1.4","Plantas, árboles y otra vegetación","Plantas, árboles y otra vegetación","Plantas, árboles y otra vegetación","TRUE","Plantas, árvores e outras vegetações","Plantas, árvores e outras vegetações","Plantas, árvores e outras vegetações","TRUE","Les plantes, les arbres et autres végétaux","Les plantes, les arbres et la végétation","Les plantes, les arbres et la végétation","TRUE","צמחים, עצים וצמחייה אחרת","צמחים, עצים, צמחייה","צמחים, עצים, צמחייה","TRUE","النباتات والأشجار وغيرها من النباتات","المزروعات والأشجار والحياة النباتية الأخرى","المزروعات والأشجار والحياة النباتية الأخرى","FALSE","पौधे, पेड़ और अन्य वनस्पतियों","","पौधे, पेड़ और अन्य वनस्पतियों","FALSE","চারাগাছ, গাছপালা ও অন্যান্য গাছপালা","উদ্ভিদ, গাছ এবং অন্যান্য উদ্ভিদসমূহ","উদ্ভিদ, গাছ এবং অন্যান্য উদ্ভিদসমূহ","TRUE","ଉଦ୍ଭିଦ, ବୃକ୍ଷ ଓ ଅନ୍ୟାନ୍ୟ vegetation","","ଉଦ୍ଭିଦ, ବୃକ୍ଷ ଓ ଅନ୍ୟାନ୍ୟ vegetation","FALSE","","","FALSE","Tanaman, pohon dan vegetasi lainnya","Tanaman, pohon, and tumbuhan lainnya","Tanaman, pohon, and tumbuhan lainnya","TRUE","Растения, деревья и другая растительность","","Растения, деревья и другая растительность","TRUE","植物，树木和其他植物","","植物，树木和其他植物","FALSE","Shuke-shuke da bishiyoyi da sauran ciyayi","","Shuke-shuke da bishiyoyi da sauran ciyayi","FALSE","Mimea, miti na mimea mingine","Mimea, miti na uoto mwingine","Mimea, miti na uoto mwingine","TRUE","እፅዋቶች, ዛፎች እና ሌሎች እፅዋት","እፅዋቶች, ዛፎች እና ሌሎች እፅዋት","እፅዋቶች, ዛፎች እና ሌሎች እፅዋት","TRUE","Tumbuhan, pokok dan tumbuh-tumbuhan lain","Tanaman, pokok-pokok dan tumbuh-tumbuhan lain","Tanaman, pokok-pokok dan tumbuh-tumbuhan lain","TRUE","Mga halaman, mga puno at iba pang mga halaman","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animals","1.5","animales","Animales","Animales","TRUE","animais","Animais","Animais","TRUE","Animaux","Les animaux","Les animaux","TRUE","חיות","","חיות","TRUE","الحيوانات","الحيوانات","الحيوانات","FALSE","जानवरों","","जानवरों","FALSE","জীবজন্তু","প্রাণী","প্রাণী","TRUE","ପ୍ରାଣୀ","","ପ୍ରାଣୀ","FALSE","","","FALSE","hewan","Hewan","Hewan","TRUE","животные","","животные","TRUE","动物","","动物","FALSE","Animals","","Animals","FALSE","Wanyama","Wanyama","Wanyama","TRUE","እንስሳት","እንስሳት","እንስሳት","TRUE","Haiwan","Haiwan","Haiwan","TRUE","Mga Hayop.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colors","1.6","Colores","Colores","Colores","TRUE","cores","Cores","Cores","TRUE","Couleurs","Les couleurs","Les couleurs","TRUE","צבעים","","צבעים","TRUE","الألوان","الألوان","الألوان","FALSE","रंग की","","रंग की","FALSE","রং","রঙ","রঙ","TRUE","ରଙ୍ଗ","","ରଙ୍ଗ","FALSE","","","FALSE","warna","Warna","Warna","TRUE","Цвета","","Цвета","TRUE","颜色","","颜色","FALSE","launuka","","launuka","FALSE","rangi","Rangi","Rangi","TRUE","ቀለሞች","ቀለሞች","ቀለሞች","TRUE","Warna","Warna","Warna","TRUE","Kulay","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Birds","1.7","Aves","Aves","Aves","TRUE","aves","Pássaros","Pássaros","TRUE","Des oiseaux","Les oiseaux","Les oiseaux","TRUE","ציפור","ציפורים","ציפורים","TRUE","الطيور","الطيور","الطيور","FALSE","पक्षियों","","पक्षियों","FALSE","পাখি","পাখি","পাখি","TRUE","ପକ୍ଷୀ","","ପକ୍ଷୀ","FALSE","","","FALSE","Burung-burung","Burung-burung","Burung-burung","TRUE","птицы","","птицы","TRUE","鸟类","","鸟类","FALSE","Birds","","Birds","FALSE","Ndege","Ndege","Ndege","TRUE","ወፎች","ወፎች","ወፎች","TRUE","Burung.","Burung","Burung","TRUE","Mga ibon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fish and marine creatures","1.8","Peces y criaturas marinas","Peces y vida marina","Peces y vida marina","TRUE","peixes e criaturas marinhas","Peixes e criaturas marinhas","Peixes e criaturas marinhas","TRUE","Poissons et créatures marines","Les poissons et la vie marine","Les poissons et la vie marine","TRUE","יצורי דגים ימיים","דגים ויצורים ימיים","דגים ויצורים ימיים","TRUE","الأسماك والمخلوقات البحرية","الأسماك والكائنات البحرية","الأسماك والكائنات البحرية","FALSE","मछली और समुद्री जीव","","मछली और समुद्री जीव","FALSE","মাছ এবং সামুদ্রিক প্রাণীর","মাছ এবং সামুদ্রিক প্রাণী","মাছ এবং সামুদ্রিক প্রাণী","TRUE","ମାଛ ଓ ସାମୁଦ୍ରିକ ପ୍ରାଣୀ","","ମାଛ ଓ ସାମୁଦ୍ରିକ ପ୍ରାଣୀ","FALSE","","","FALSE","Ikan dan laut makhluk","Ikan dan hewan-hewan laut","Ikan dan hewan-hewan laut","TRUE","Рыба и морские существа","Рыбы и морские существа","Рыбы и морские существа","TRUE","鱼类和海洋生物","","鱼类和海洋生物","FALSE","Kifi da marine halittun","","Kifi da marine halittun","FALSE","Samaki na bahari viumbe","Samaki na viumbe vya baharini","Samaki na viumbe vya baharini","TRUE","የዓሳ እና የባህር ፍጥረታት","የዓሳ እና የባህር ፍጥረታት","የዓሳ እና የባህር ፍጥረታት","TRUE","Makhluk Ikan dan Marin","Ikan dan makhluk laut","Ikan dan makhluk laut","TRUE","Isda at marine nilalang.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Insects and small creatures","1.9","Insectos y pequeños animales","Insectos y pequeñas criaturas","Insectos y pequeñas criaturas","TRUE","Insetos e criaturas pequenas","Insectos e pequenas criaturas ","Insectos e pequenas criaturas ","TRUE","Insectes et petites créatures","Les insectes et les petites bêtes","Les insectes et les petites bêtes","TRUE","חרקים ויצורים קטנים","","חרקים ויצורים קטנים","TRUE","حشرات و مخلوقات صغيرة","الحشرات والكائنات الصغيرة","الحشرات والكائنات الصغيرة","FALSE","कीड़े और छोटे जीव","","कीड़े और छोटे जीव","FALSE","কীটপতঙ্গ এবং ছোট প্রাণীকে","পোকামাকড় এবং ছোট প্রাণী","পোকামাকড় এবং ছোট প্রাণী","TRUE","କୀଟ ଏବଂ ଛୋଟ ପ୍ରାଣୀ","","କୀଟ ଏବଂ ଛୋଟ ପ୍ରାଣୀ","FALSE","","","FALSE","Serangga dan makhluk kecil","Serangga dan hewan-hewan kecil","Serangga dan hewan-hewan kecil","TRUE","Насекомые и маленькие существа","","Насекомые и маленькие существа","TRUE","昆虫","","昆虫","FALSE","Kwari da kuma kananan halittun","","Kwari da kuma kananan halittun","FALSE","Wadudu na viumbe wadogo","Wadudu na viumbe wadogo","Wadudu na viumbe wadogo","TRUE","ነፍሳት እና ትናንሽ ፍጥረታት","ነፍሳት እና ትናንሽ ፍጥረታት","ነፍሳት እና ትናንሽ ፍጥረታት","TRUE","Serangga dan makhluk kecil","Serangga dan makhluk kecil","Serangga dan makhluk kecil","TRUE","Mga insekto at maliliit na nilalang","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
