"en","key","enAbbrev","Spanish","write-in","esAbbrev","es","✓","Portuguese","write-in","ptAbbrev","pt","✓","French","write-in","frAbbrev","fr","✓","Hebrew","write-in","heAbbrev","he","✓","Arabic","write-in","arAbbrev","ar","✓","Hindi","write-in","hiAbbrev","hi","✓","Bengali","write-in","bnAbbrev","bn","✓","Oriya","write-in","orAbbrev","or","✓","as","asAbbrev","✓","Indonesian","write-in","idAbbrev","id","✓","Russian","write-in","ruAbbrev","ru","✓","Mandarin Chinese (simplified)","write-in","zhAbbrev","zh","✓","Hausa","write-in","haAbbrev","ha","✓","Swahili","write-in","swAbbrev","sw","✓","Amharic","write-in","amAbbrev","am","✓","Thai","write-in","thAbbrev","th","✓","Malay","write-in","msAbbrev","ms","✓","Filipino","write-in","filAbbrev","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noun","n","n","sustantivo","sustantivo","s","sustantivo","TRUE","substantivo","substantivo","","substantivo","TRUE","nom","nom commun","n.","nom commun","TRUE","שֵׁם עֶצֶם","שם עצם","שם","שם עצם","TRUE","إسم","اسم","اس","اسم","FALSE","संज्ञा","संज्ञा","","संज्ञा","TRUE","বিশেষ্য","বিশেষ্য","বি.","বিশেষ্য","TRUE","ବିେଶଷ୍ଯପଦ","","","ବିେଶଷ୍ଯପଦ","FALSE","","","FALSE","kata benda","nomina","","nomina","TRUE","существительное","","","существительное","TRUE","名词","","","名词","FALSE","suna","","","suna","FALSE","nomino","Nomino","nm","Nomino","TRUE","ስም","ስም","","ስም","TRUE","คำนาม","","","คำนาม","FALSE","kata","kata nama","","kata nama","TRUE","kata","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pronoun","pro","pro","pronombre","pronombre","pron","pronombre","TRUE","pronome","pronome","","pronome","TRUE","pronom","pronom","pr.","pronom","TRUE","כנוי","כינוי גוף","","כינוי גוף","TRUE","ضمير","ضمير","ضم","ضمير","FALSE","सर्वनाम","सर्वनाम","","सर्वनाम","TRUE","সর্বনাম","সর্বনাম","সর্ব.","সর্বনাম","TRUE","ସର୍ବନାମ","","","ସର୍ବନାମ","FALSE","","","FALSE","kata ganti","pronomina","","pronomina","TRUE","местоимение","","","местоимение","TRUE","代词","","","代词","FALSE","wakilin suna","","","wakilin suna","FALSE","kiwakilishi","Kiwakilishi","kw","Kiwakilishi","TRUE","ተዉላጠ ስም","ተዉላጠ ስም","","ተዉላጠ ስም","TRUE","คำสรรพนาม","","","คำสรรพนาม","FALSE","kata ganti","kata ganti nama","","kata ganti nama","TRUE","pronoun.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"verb","v","v","verbo","verbo","v","verbo","TRUE","verbo","verbo","","verbo","TRUE","verbe","verbe","v.","verbe","TRUE","פועל","","פ","פועל","TRUE","الفعل","فعل","فع","فعل","FALSE","क्रिया","क्रिया","","क्रिया","TRUE","ক্রিয়া","ক্রিয়া","ক্রি.","ক্রিয়া","TRUE","କ୍ରିୟା","","","କ୍ରିୟା","FALSE","","","FALSE","kata kerja","verba","","verba","TRUE","глагол","","","глагол","TRUE","动词","","","动词","FALSE","fi'ili","","","fi'ili","FALSE","kitendo","Kitenzi","kt","Kitenzi","TRUE","ግሥ","ግሥ","","ግሥ","TRUE","คำกริยา","","","คำกริยา","FALSE","kata kerja","kata kerja","","kata kerja","TRUE","pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adjective","adj","adj","adjetivo","adjetivo","adj","adjetivo","TRUE","adjetivo","adjectivo","","adjectivo","TRUE","adjectif","adjectif","adj.","adjectif","TRUE","תוֹאַר","שם תואר","ש״ת","שם תואר","TRUE","الصفة","صفة","صف","صفة","FALSE","विशेषण","विशेषण","","विशेषण","TRUE","বিশেষণ","বিশেষণ","বিণ.","বিশেষণ","TRUE","ବିେଶଷଣ ପଦ","","","ବିେଶଷଣ ପଦ","FALSE","","","FALSE","kata sifat","adjektiva","","adjektiva","TRUE","прилагательное","","","прилагательное","TRUE","形容词","","","形容词","FALSE","siffa","","","siffa","FALSE","kivumishi","Kivumishi","kv","Kivumishi","TRUE","ቅጽል","ቅጽል","","ቅጽል","TRUE","คำคุณศัพท์","","","คำคุณศัพท์","FALSE","kata sifat","kata adjektif","","kata adjektif","TRUE","pang-uri","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adverb","adv","adv","adverbio","adverbio","adv","adverbio","TRUE","advérbio","advérbio","","advérbio","TRUE","adverbe","adverbe","adv.","adverbe","TRUE","תואר הפועל","","תה""פ","תואר הפועל","TRUE","ظرف حال","حال","ح","حال","FALSE","क्रिया विशेषण","क्रिया विशेषण","","क्रिया विशेषण","TRUE","বিশেষণের বিশেষণ","ক্রিয়াবিশেষণ","ক্রি. বিণ","ক্রিয়াবিশেষণ","TRUE","କ୍ରିୟା ବିେଶଷଣ","","","କ୍ରିୟା ବିେଶଷଣ","FALSE","","","FALSE","kata keterangan","adverbia","","adverbia","TRUE","наречие","","","наречие","TRUE","副词","","","副词","FALSE","yar bab","","","yar bab","FALSE","kielezi","Kielezi","kl","Kielezi","TRUE","ተውሳከ ግስ","ተውሳከ ግስ","","ተውሳከ ግስ","TRUE","คำวิเศษณ์","","","คำวิเศษณ์","FALSE","kata keterangan","kata adverba","","kata adverba","TRUE","Adverb","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preposition","prep","prep","preposición","preposición","prep","preposición","TRUE","preposição","préposição","","préposição","TRUE","préposition","préposition","prép.","préposition","TRUE","מילת יחס","מילת יחס (תחילית, preposition)","מ״י","מילת יחס (תחילית, preposition)","TRUE","حرف جر","حرف جر","ح ج","حرف جر","FALSE","पूर्वसर्ग","पूर्वसर्ग","","पूर्वसर्ग","TRUE","পদান্বয়ী অব্যয়","পূর্ব সর্গ","পূ.স.","পূর্ব সর্গ","TRUE","ଅବ୍ଯୟପଦ","","","ଅବ୍ଯୟପଦ","FALSE","","","FALSE","preposisi","preposisi","","preposisi","TRUE","предлог","","","предлог","TRUE","介词","","","介词","FALSE","bigire","","","bigire","FALSE","kihusishi","Kihusishi","kh","Kihusishi","TRUE","መስተዋድድ","መስተዋድድ","","መስተዋድድ","TRUE","บุพบท","","","บุพบท","FALSE","preposisi","kata sendi nama depan","","kata sendi nama depan","TRUE","preposisyon","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunction","conj","conj","conjunción","conjunción","conj","conjunción","TRUE","conjunção","conjunção","","conjunção","TRUE","conjonction","conjonction","conj.","conjonction","TRUE","בשיתוף","מילת קישור","מ״ק","מילת קישור","TRUE","اقتران","أداة ربط","أ ر","أداة ربط","FALSE","संयोजन के रूप","समुच्चयबोधक","","समुच्चयबोधक","TRUE","সংযোগ","সংযোজক অব্যয়","সং. অ.","সংযোজক অব্যয়","TRUE","ଛେଦ","","","ଛେଦ","FALSE","","","FALSE","konjungsi","konjungsi","","konjungsi","TRUE","конъюнкция","союз","","союз","TRUE","连词","","","连词","FALSE","tare da","","","tare da","FALSE","kushirikiana","Kiunganishi","ku","Kiunganishi","TRUE","መስተፃምር","ጠማሪ","","ጠማሪ","TRUE","การใช้ร่วมกัน","","","การใช้ร่วมกัน","FALSE","konjungsi","kata hubung","","kata hubung","TRUE","conjunction.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"determiner","det","det","determinador","determinante","det","determinante","TRUE","determinador","determinante","","determinante","TRUE","déterminateur","déterminant","dét.","déterminant","TRUE","determiner","מיידע","","מיידע","TRUE","المحدد","محدد ","مح","محدد ","FALSE","निर्धारक","निर्धारक","","निर्धारक","TRUE","নিয়ন্তা","নির্ধারক","নির্ধা.","নির্ধারক","TRUE","determiner","","","determiner","FALSE","","","FALSE","penentu","determiner","","determiner","TRUE","детерминанта","детерминатив","","детерминатив","TRUE","确定","","","确定","FALSE","determiner","","","determiner","FALSE","determiner","Kibainishi","kb","Kibainishi","TRUE","determiner","መስተዓምር","","መስተዓምር","TRUE","ผู้กำหนด","","","ผู้กำหนด","FALSE","penentu","kata ganti nama penunjuk","","kata ganti nama penunjuk","TRUE","determiner","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"interjection","int","int","interjección","interjección","interj","interjección","TRUE","interjeição","interjeição","","interjeição","TRUE","interjection","interjection","interj.","interjection","TRUE","שְׁאִלתָה","מילת קריאה","","מילת קריאה","TRUE","إقحام","حرف نداء","ح ن","حرف نداء","FALSE","विस्मयादिबोधक","विस्मयादिबोधक","","विस्मयादिबोधक","TRUE","মধ্যে নিক্ষেপ","আবেগ সূচক অব্যয়","আ. অ.","আবেগ সূচক অব্যয়","TRUE","ହଠାତ୍ କହିବା","","","ହଠାତ୍ କହିବା","FALSE","","","FALSE","kata seru","interjeksi","","interjeksi","TRUE","междометие","","","междометие","TRUE","欹","","","欹","FALSE","interjection","","","interjection","FALSE","interjection","Kihisishi","ks","Kihisishi","TRUE","ቃል አጋኖ","ቃል አጋኖ","","ቃል አጋኖ","TRUE","การร้องไห้","","","การร้องไห้","FALSE","penyimpanan","kata seru","","kata seru","TRUE","interjection.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"number","no","no","número","número","nro","número","TRUE","número","número","","número","TRUE","nombre","nombre","no. ","nombre","TRUE","מספר","","","מספר","TRUE","رقم","رقم","رقم","رقم","FALSE","संख्या","वचन","","वचन","TRUE","সংখ্যা","বচন","ব.","বচন","TRUE","ସଂଖ୍ଯା","","","ସଂଖ୍ଯା","FALSE","","","FALSE","jumlah","bilangan","","bilangan","TRUE","число","","","число","TRUE","数","","","数","FALSE","lambar","","","lambar","FALSE","idadi","Namba","na","Namba","TRUE","ቁጥር","ቁጥር","","ቁጥር","TRUE","จำนวน","","","จำนวน","FALSE","nombor","nombor","","nombor","TRUE","numero","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
