"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"English","","","en","Keyboard_us","","","","Inglés","inglés","inglés","TRUE","Inglês","Inglês","Inglês","TRUE","Anglais","Anglais","Anglais","TRUE","אנגלית","","אנגלית","TRUE","الإنجليزية","الإنجليزية","الإنجليزية","FALSE","अंग्रेज़ी","","अंग्रेज़ी","FALSE","ইংরেজি","ইংরেজি","ইংরেজি","TRUE","ଇଂରାଜୀ","","ଇଂରାଜୀ","FALSE","","FALSE","Inggris","Bahasa Inggris","Bahasa Inggris","TRUE","английский","","английский","TRUE","英语","","英语","FALSE","Turanci","","Turanci","FALSE","english","Kingereza","Kingereza","TRUE","እንግሊዝኛ","እንግሊዝኛ","እንግሊዝኛ","TRUE","ภาษาอังกฤษ","","ภาษาอังกฤษ","FALSE","Bahasa Inggeris","Bahasa Inggeris","Bahasa Inggeris","TRUE","Ingles","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhaz","аҧсуа бызшәа","","ab","","","","","abkhaz","","abkhaz","FALSE","Abkhaz","Abkhaz","Abkhaz","TRUE","abkhaze","","abkhaze","FALSE","אבחזיה","","אבחזיה","FALSE","الأبخازية","","الأبخازية","FALSE","Abkhaz","","Abkhaz","FALSE","Abkhaz","আবখাজ","আবখাজ","TRUE","Abkhaz","","Abkhaz","FALSE","","FALSE","Abkhazia","Bahasa Abkhazia","Bahasa Abkhazia","TRUE","абхазская","абхазский","абхазский","TRUE","阿布哈兹","","阿布哈兹","FALSE","Abkhaz","","Abkhaz","FALSE","Abkhaz","Kiabkhazi","Kiabkhazi","TRUE","አብክሃዝ","አብክሃዝኛ","አብክሃዝኛ","TRUE","abkhaz","","abkhaz","FALSE","Abkhaz","Bahasa Abkhaz","Bahasa Abkhaz","TRUE","Abkhaz","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acehnese","Basa Acèh","","ace","","","","","acehneses","","acehneses","FALSE","Aceh","Achinês","Achinês","TRUE","acehnaise","","acehnaise","FALSE","אצ'ה","","אצ'ה","FALSE","آتشيه","","آتشيه","FALSE","Acehnese","","Acehnese","FALSE","আসেনিজ","এসেনীজ","এসেনীজ","TRUE","Acehnese","","Acehnese","FALSE","","FALSE","Aceh","Bahasa Aceh","Bahasa Aceh","TRUE","Ачеха","ачехский","ачехский","TRUE","亚齐","","亚齐","FALSE","Acehnese","","Acehnese","FALSE","Acehnese","Acehnese","Acehnese","TRUE","Acehnese","አቸኒዝኛ","አቸኒዝኛ","TRUE","ชาวเอเจน","","ชาวเอเจน","FALSE","Aceh.","Bahasa Aceh","Bahasa Aceh","TRUE","Acehnese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acholi","Lwo","","ach","","","","","Acholi","","Acholi","FALSE","Acholi","Acholi","Acholi","TRUE","Acholi","","Acholi","FALSE","אצ'ולי","","אצ'ולי","FALSE","الأشولي","","الأشولي","FALSE","Acholi","","Acholi","FALSE","অচঁলি","অচলি","অচলি","TRUE","Acholi","","Acholi","FALSE","","FALSE","Acholi","Bahasa Acholi","Bahasa Acholi","TRUE","Acholi","ачоли","ачоли","TRUE","阿乔利","","阿乔利","FALSE","Acholi","","Acholi","FALSE","Acholi","Kiacholi","Kiacholi","TRUE","Acholi","አቾሊኛ","አቾሊኛ","TRUE","acholi","","acholi","FALSE","Acholi","Bahasa Acholi","Bahasa Acholi","TRUE","Acholi.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afar","Qafaraf","Afaraf","aa","","","","","Lejos","","Lejos","FALSE","Longe","Afar","Afar","TRUE","Au loin","","Au loin","FALSE","אפאר","","אפאר","FALSE","بعيدا","","بعيدا","FALSE","दूर","","दूर","FALSE","দূরে","আফার","আফার","TRUE","ଦୂର","","ଦୂର","FALSE","","FALSE","Jauh","Bahasa Afar","Bahasa Afar","TRUE","издалека","афарский","афарский","TRUE","远","","远","FALSE","nesa","","nesa","FALSE","Afar","Kiafari","Kiafari","TRUE","አፋር","አፋርኛ","አፋርኛ","TRUE","ไกล","","ไกล","FALSE","Jauh","Bahasa Afar","Bahasa Afar","TRUE","Afar","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afrikaans","","","af","Keyboard_european","","","","africaans","afrikáans","afrikáans","TRUE","afrikaans","Afrikaans","Afrikaans","TRUE","afrikaans","Afrikaans","Afrikaans","TRUE","אפריקאנס","","אפריקאנס","TRUE","الأفريكانية","الأفريقانية","الأفريقانية","FALSE","अफ्रीकी","","अफ्रीकी","FALSE","আফ্রিকান্স","আফ্রিকান","আফ্রিকান","TRUE","Afrikaans","","Afrikaans","FALSE","","FALSE","Afrikanas","Bahasa Afrikanas","Bahasa Afrikanas","TRUE","африкаанс","","африкаанс","TRUE","南非荷兰语","","南非荷兰语","FALSE","Afirkanci","","Afirkanci","FALSE","Afrikaans","Kiafrikaans","Kiafrikaans","TRUE","አፍሪካንስ","አፍሪካንስ","አፍሪካንስ","TRUE","ชาวแอฟริกัน","","ชาวแอฟริกัน","FALSE","Afrikaans.","Bahasa Afrikaans","Bahasa Afrikaans","TRUE","Afrikaans.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Akan","Akan","","ak","","","","","Akan","","Akan","FALSE","Akan","Acã","Acã","TRUE","Akan","","Akan","FALSE","אקאן","","אקאן","FALSE","اكان","","اكان","FALSE","अकान","","अकान","FALSE","আকান","আকান","আকান","TRUE","ଅକନ୍","","ଅକନ୍","FALSE","","FALSE","akan","Bahasa Akan","Bahasa Akan","TRUE","Акан","акан","акан","TRUE","阿寒湖","","阿寒湖","FALSE","Akan","","Akan","FALSE","Akan","Kiakani","Kiakani","TRUE","አካንኛ","አካንኛ","አካንኛ","TRUE","akan","","akan","FALSE","Akan","Bahasa Akan","Bahasa Akan","TRUE","Akan.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aklanon (Akeanon)","Inakeanon","","akl","","","","","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon (Akeanon)","Aklan","Aklan","TRUE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon, (Akeanon)","আকলানন (আকানন)","আকলানন (আকানন)","TRUE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","","FALSE","Aklanon (Akeanon)","Bahasa Aklanon (Akeanon)","Bahasa Aklanon (Akeanon)","TRUE","Aklanon (Akeanon)","акланон","акланон","TRUE","Aklanon（Akeanon）","","Aklanon（Akeanon）","FALSE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon (Akeanon)","Aklanon","Aklanon","TRUE","Aklanon (Akeanon)","አክላኖንኛ","አክላኖንኛ","TRUE","Aklanon (Akeanon)","","Aklanon (Akeanon)","FALSE","Aklanon (Akeanon)","Bahasa Aklanon (Akeanon)","Bahasa Aklanon (Akeanon)","TRUE","Aklanon (Akean)","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albanian","gjuha shqipe","","sq","","","","","albanés","","albanés","FALSE","albanês","Albanês","Albanês","TRUE","albanais","","albanais","FALSE","אלבני","","אלבני","FALSE","الألبانية","","الألبانية","FALSE","अल्बानियन","","अल्बानियन","FALSE","আলবেনীয়","আল্বানী","আল্বানী","TRUE","ଆଲବାନିଆନ୍","","ଆଲବାନିଆନ୍","FALSE","","FALSE","bahasa Albania","Bahasa Albania","Bahasa Albania","TRUE","албанский","","албанский","TRUE","阿尔巴尼亚人","","阿尔巴尼亚人","FALSE","Albanian","","Albanian","FALSE","Kialbeni","Kialbania","Kialbania","TRUE","አልበንያኛ","አልበንያኛ","አልበንያኛ","TRUE","ชาวแอลเบเนีย","","ชาวแอลเบเนีย","FALSE","Albania.","Bahasa Albania","Bahasa Albania","TRUE","Albanian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amharic","አማርኛ","Amarəñña","am","Keyboard_gff_amharic","true","","","amárico","amhárico","amhárico","TRUE","amárico","Amárica","Amárica","TRUE","amharique","Amharique","Amharique","TRUE","אמהרית","","אמהרית","TRUE","الأمهرية","الأمهرية","الأمهرية","FALSE","अम्हारिक्","","अम्हारिक्","FALSE","আমহারিক","আমহারি","আমহারি","TRUE","ଆମହାରିକ୍","","ଆମହାରିକ୍","FALSE","","FALSE","Amharic","Bahasa Amharic","Bahasa Amharic","TRUE","амхарский","","амхарский","TRUE","阿姆哈拉语","","阿姆哈拉语","FALSE","Amharic","","Amharic","FALSE","Kiamhari","Kiamhari","Kiamhari","TRUE","አማርኛ","አማርኛ","አማርኛ","TRUE","เกี่ยวกับอัมฮาริก","","เกี่ยวกับอัมฮาริก","FALSE","Amharic.","Bahasa Amhara","Bahasa Amhara","TRUE","Amharic.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
